Month,Day,Upper Elevation,Middle Elevation,Lower Elevation,Tmax,Tmin,Tavg,Wdir,Wavg,Wmax,HNS,HNW,HS
11,1,No Rating,No Rating,No Rating,15,8,12,W,22.4,46,0.6,0.02,1
11,2,No Rating,No Rating,No Rating,16,7,12,W,32.3,50,0,0,1
11,3,No Rating,No Rating,No Rating,27,16,22,W,37.5,65,0,0.01,1
11,4,No Rating,No Rating,No Rating,28,23,26,W,41.9,84,0,0,1
11,5,No Rating,No Rating,No Rating,26,14,20,W,39.3,61,0.1,0.03,1
11,6,No Rating,No Rating,No Rating,25,13,19,S,28.1,61,0.1,0.01,1
11,7,No Rating,No Rating,No Rating,34,13,24,W,56,108,0.6,0.38,1
11,8,No Rating,No Rating,No Rating,25,4,15,NW,62.4,104,1.1,0.14,2
11,9,No Rating,No Rating,No Rating,30,18,24,W,35,75,2.1,0.4,3
11,10,No Rating,No Rating,No Rating,21,17,19,W,56,95,1.9,0.29,3
11,11,No Rating,No Rating,No Rating,18,7,13,W,46.8,92,0.5,0.07,3
11,12,No Rating,No Rating,No Rating,17,13,15,N ,21.2,32,0,0,3
11,13,No Rating,No Rating,No Rating,22,14,18,W,18.4,34,0.8,0.04,3
11,14,No Rating,No Rating,No Rating,18,15,17,NW,35.8,63,0.3,0.01,4
11,15,No Rating,No Rating,No Rating,30,15,23,W,42.8,77,0,0,4
11,16,No Rating,No Rating,No Rating,31,22,27,W,36.3,70,0,0,3
11,17,No Rating,No Rating,No Rating,39,27,33,W,50.8,87,0,0.09,3
11,18,No Rating,No Rating,No Rating,36,8,22,NW,40,71,0,0.22,1
11,19,No Rating,No Rating,No Rating,16,7,12,W,54.9,84,3.5,0.43,1
11,20,No Rating,No Rating,No Rating,10,2,6,W,36.9,74,3.1,0.26,5
11,21,No Rating,No Rating,No Rating,28,10,19,S,23.3,62,0.6,0.04,3
11,22,No Rating,No Rating,No Rating,29,13,21,S,39.9,74,3.7,0.52,3
11,23,No Rating,No Rating,No Rating,25,15,20,W,51.8,87,0.4,0.03,5
11,24,No Rating,No Rating,No Rating,19,-5,7,W,65.1,97,0.4,0.02,5
11,25,No Rating,No Rating,No Rating,19,-7,6,NW,54.3,100,0,0,5
11,26,No Rating,No Rating,No Rating,22,18,20,SE,33.5,80,0.3,0.05,5
11,27,No Rating,No Rating,No Rating,28,10,19,SE,53.5,83,8.3,1.91,12
11,28,No Rating,No Rating,No Rating,11,-4,4,W,57,85,4,0.45,14
11,29,No Rating,No Rating,No Rating,6,-5,1,NW,53.8,100,0.8,0.08,15
11,30,No Rating,No Rating,No Rating,25,6,16,W,46.4,79,0.9,0.09,15
12,1,No Rating,No Rating,No Rating,28,22,25,W,51.9,87,1.9,0.26,12
12,2,No Rating,No Rating,No Rating,28,23,26,W,32.6,48,0.1,0.01,12
12,3,No Rating,No Rating,No Rating,28,16,22,SE,24.1,50,13.1,0.93,12
